direction_a,direction_b,count
A,A,1
A,B,0
A,D,0
A,F,1
B,A,0
B,B,1
B,D,0
B,F,0
D,A,0
D,B,0
D,D,1
D,F,0
F,A,1
F,B,0
F,D,0
F,F,1
