direction,direction_zh,query,title,year,authors,venue,doi,url,abstract,citation_count,source_database,open_access_pdf,raw_id,duplicate_count,duplicate_sources,duplicate_queries,direction_labels,direction_names,matched_query,cited_by_count,source
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Evaluation of the carbon sequestration potential of steel slag in China based on theoretical and experimental labile Ca,2022,Xue Wang; Xueya Lu; Connor Turvey; Gregory M. Dipple; Wen Ni,Resources Conservation and Recycling,10.1016/j.resconrec.2022.106590,https://doi.org/10.1016/j.resconrec.2022.106590,unclear,44,OpenAlex,unclear,https://openalex.org/W4289515773,1,OpenAlex,"""steel slag"" ""CO2 mineralization""",A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",44,OpenAlex
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""","Temperature-regulated ammonium carbonate curing of steel slag: Enhanced carbonation, strength, and CO2 mineralization for sustainable building materials",2025,Ziping Pan; Jiajie Li; Xingtong Yue; Zeping Wu; Dongdong Zhang; Yabo Hu; Wen Ni; Michael Hitch,Journal of Materials Research and Technology,10.1016/j.jmrt.2025.07.264,https://doi.org/10.1016/j.jmrt.2025.07.264,"This study systematically examines the effects of temperature on the carbonation consolidation of steel slag in ammonium carbonate solution, aiming to develop sustainable building materials and improve CO 2 mineralisation efficiency. By exposing steel slag compacts to curing temperatures of 20°C, 40°C, and 60°C, the research shows that higher temperatures significantly enhance both the compressive strength and carbonation conversion of the material. Specifically, the 60°C curing group achieved a peak compressive strength of 118.38 MPa, which is 114% greater than at 20°C, emphasizing the vital role of temperature in speeding up reaction kinetics and fostering the formation of strong carbonation-hydration products. Comprehensive characterizations—including uniaxial compression, total carbon analysis, XRD, TG-DTG, FT-IR, and SEM—indicate that higher temperatures promote Ca 2+ dissolution, increase calcium carbonate crystallinity, and encourage the development of denser microstructures. The addition of ammonium carbonate not only aids mass transfer and Ca 2+ extraction but also introduces a new mineralisation pathway involving carbamate ions. These findings offer a theoretical and experimental basis for optimizing the carbonation process of steel slag, advancing its use as an eco-friendly construction material with significant CO 2 sequestration potential.",14,OpenAlex,unclear,https://openalex.org/W4412735982,2,OpenAlex|Semantic Scholar,"""steel slag"" ""CO2 mineralization""",A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",14,OpenAlex
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",CO2 capture and utilization with solid waste,2022,Wei-Hang Xie; Heng Li; Meng Yang; Liang‐Nian He; Hongru Li,Green Chemical Engineering,10.1016/j.gce.2022.01.002,https://doi.org/10.1016/j.gce.2022.01.002,"Nowadays, the massive consumption of fossil fuels and the resulting excessive emission of carbon dioxide (CO2) have broken the original carbon balance of nature, resulting in global warming and the consequent detrimental environmental impacts. To address these issues, various initiatives have been proposed, among which CO2 capture and utilization (CCU) is considered as the direct way to mitigate the accumulation of CO2 in the atmosphere. Although a plethora of CO2 capture reagents and utilization routes have been developed, the cost of CO2 capture reagents as well as the amount of CO2 utilization still encounters limitations. Recently, CCU with solid wastes have attracted sustained attention due to its ability to synchronize CO2 fixation with solid wastes utilization. Especially, the huge amount and low cost of the solid wastes can promote the economic fixation of CO2 and thus contribute significantly to the carbon sink. Given the tremendous utility of this strategy, this review article summarizes the state-of-the-art of CO2 capture and utilization with solid wastes such as steel slag, concrete waste, fly ash, red mud, calcium carbide residue, and biomass etc. And three parts including CO2 mineralization, solid waste-based catalyst promoted CO2 transformation, and collaborative transformation of CO2 and solid waste are introduced according to the roles of solid waste in CO2 utilization. We hope this review can arouse broad concern and spur further development in this field.",83,OpenAlex,unclear,https://openalex.org/W4206486861,1,OpenAlex,"""steel slag"" ""CO2 mineralization""",A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",83,OpenAlex
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""","CO2 mineralization curing steel slag-fly ash-Portland cement ternary paste: Mechanical properties, microstructure and life cycle assessment",2025,Guoyang Yi; Wei Tian; Junjie Shi; Jian Guo; Xu Cheng,Journal of Central South University,10.1007/s11771-025-6022-3,https://doi.org/10.1007/s11771-025-6022-3,unclear,4,OpenAlex,unclear,https://openalex.org/W4413436222,2,OpenAlex|Semantic Scholar,"""steel slag"" ""CO2 mineralization""",A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",4,OpenAlex
A|F,旋转填充床与传质强化|超重力碳化固废,"""process intensification"" ""mineral carbonation""|""steel slag"" ""CO2 mineralization""",Carbon dioxide reduction through mineral carbonation by steel slag,2024,Yongpeng Zhang; Yimei Ying; Lei Xing; Guoxiong Zhan; Yanli Deng; Zhen Chen; Junhua Li,Journal of Environmental Sciences,10.1016/j.jes.2024.06.016,https://doi.org/10.1016/j.jes.2024.06.016,unclear,39,OpenAlex,unclear,https://openalex.org/W4399901694,3,OpenAlex|Semantic Scholar,"""process intensification"" ""mineral carbonation""|""steel slag"" ""CO2 mineralization""",A|F,旋转填充床与传质强化|超重力碳化固废,"""process intensification"" ""mineral carbonation""|""steel slag"" ""CO2 mineralization""",39,OpenAlex
A|E,碳化固废辅助胶凝材料|超重力碳化固废,"""carbonated steel slag"" ""supplementary cementitious material""|""steel slag"" ""CO2 mineralization""",Enhancing the reactivity of calcium carbonate in CO2 mineralized steel slag by ultrasonic-assisted carbonation,2025,Yingliang Zhao; Zhenjiang Gu; Yong Zheng; Kai Cui; Jionghuang He; Peiliang Shen; Chi Sun Poon,Cement and Concrete Composites,10.1016/j.cemconcomp.2025.106435,https://doi.org/10.1016/j.cemconcomp.2025.106435,unclear,5,OpenAlex,unclear,https://openalex.org/W4417088639,2,OpenAlex,"""carbonated steel slag"" ""supplementary cementitious material""|""steel slag"" ""CO2 mineralization""",A|E,碳化固废辅助胶凝材料|超重力碳化固废,"""carbonated steel slag"" ""supplementary cementitious material""|""steel slag"" ""CO2 mineralization""",5,OpenAlex
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",High-efficiency CO2 sequestration through direct aqueous carbonation of carbide slag: determination of carbonation reaction and optimization of operation parameters,2023,Zhiqiang Wang; Longpeng Cui; Yanfang Liu; Jili Hou; Hongwei Li; Liang Zou; Fuxia Zhu,Frontiers of Environmental Science & Engineering,10.1007/s11783-024-1772-y,https://doi.org/10.1007/s11783-024-1772-y,unclear,34,OpenAlex,unclear,https://openalex.org/W4386609806,1,OpenAlex,"""steel slag"" ""CO2 mineralization""",A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",34,OpenAlex
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Performance and mechanisms of alkaline solid waste in CO2 mineralization and utilization,2024,Yongpeng Zhang; Guoxiong Zhan; Zhoulan Huang; Lei Xing; Yimei Ying; Zhen Chen; Junhua Li,Waste Management,10.1016/j.wasman.2023.12.047,https://doi.org/10.1016/j.wasman.2023.12.047,unclear,34,OpenAlex,unclear,https://openalex.org/W4390520624,2,OpenAlex|Semantic Scholar,"""steel slag"" ""CO2 mineralization""",A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",34,OpenAlex
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""","Vitrification of CO2-mineralized steel slag residual: A study on the formulation, high-temperature viscosity-component correlation and chemical durability of glass",2025,Hongming Lei; Long Ji; Chenchen Niu; Anirban Chakrabarti; Wei Deng; Kai Xu,Construction and Building Materials,10.1016/j.conbuildmat.2025.144158,https://doi.org/10.1016/j.conbuildmat.2025.144158,unclear,1,OpenAlex,unclear,https://openalex.org/W4415523666,1,OpenAlex,"""steel slag"" ""CO2 mineralization""",A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",1,OpenAlex
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""","Research on the Leaching of Calcium Ions from De-vanadiumized Steel Slag for Indirect CO2 Mineral Sequestration: Thermodynamics, Kinetics, and Parameter Optimization",2024,Runsheng Xu; Yuchen Zhang; Jianliang Zhang; Anyang Zheng; Minghui Cao; Jiyong Yu,Metallurgical and Materials Transactions B,10.1007/s11663-024-03000-w,https://doi.org/10.1007/s11663-024-03000-w,unclear,6,OpenAlex,unclear,https://openalex.org/W4391953625,1,OpenAlex,"""steel slag"" ""CO2 mineralization""",A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",6,OpenAlex
